[Tue Oct 08 05:56:38.956361 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 08 05:56:38.956443 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 08 06:16:52.903247 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue Oct 08 06:17:38.156641 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 08 06:17:38.156717 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 08 10:03:35.314371 2019] [core:warn] [pid 1] AH00045: child process 16 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874799 2019] [core:warn] [pid 1] AH00045: child process 17 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874821 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874833 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874844 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874856 2019] [core:warn] [pid 1] AH00045: child process 32 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874868 2019] [core:warn] [pid 1] AH00045: child process 103 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874880 2019] [core:warn] [pid 1] AH00045: child process 104 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:35.874892 2019] [core:warn] [pid 1] AH00045: child process 105 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:36.875933 2019] [core:warn] [pid 1] AH00045: child process 16 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:36.875986 2019] [core:warn] [pid 1] AH00045: child process 17 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:36.875998 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Tue Oct 08 10:03:36.876010 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
